day,p5,p25,p50_median,p75,p95,mean,initial_value
122,96299.11190433905,101140.50351846809,104718.33827804925,108407.03841157854,113976.39598217251,104867.61248579167,100000.0
123,96312.9322289041,101123.26820551413,104773.72080770496,108443.43023600365,114093.01559263277,104912.15625278433,100000.0
124,96357.06575144215,101166.7872454493,104770.7126209673,108488.88406365452,114157.16285673293,104955.11924673658,100000.0
125,96330.93005162802,101146.1825092145,104842.00994351332,108589.54677867515,114239.74235465977,104989.82182221752,100000.0
126,96332.90233396125,101190.87712428087,104885.8779419193,108626.39967500015,114304.26464579339,105029.72011739433,100000.0
127,96317.78612430597,101231.56964730851,104909.83705492683,108655.9068669902,114417.47590812674,105066.20951337765,100000.0
128,96329.14455753191,101276.4497175985,104944.18578378209,108731.07337087355,114483.19092071951,105112.29376419177,100000.0
129,96364.90793964108,101248.9263481519,104989.3787281267,108787.14970761428,114568.59255990085,105153.36016399311,100000.0
130,96347.81206733879,101330.42691126687,105011.89584761565,108841.55422594068,114659.00728156205,105201.33261110971,100000.0
131,96361.85507444054,101380.19357580288,105037.65833227229,108949.81749101353,114802.4754682327,105245.80449814115,100000.0
132,96414.50594928773,101432.94085091018,105100.23936843971,108959.85004210546,114816.99067486353,105285.07491755614,100000.0
133,96459.40008141844,101470.58806896764,105140.63601391306,108997.44783558516,114862.31527883511,105334.13197455264,100000.0
134,96461.74743317909,101457.12964931654,105179.23107167633,109079.26553830328,115069.36469716432,105378.14345038285,100000.0
135,96435.25494947971,101481.23035804901,105206.4926499337,109132.32050569297,115169.2097087262,105420.50428678165,100000.0
136,96517.69994796539,101434.62758893412,105247.27220718464,109220.7388503556,115290.8483436006,105457.92517639106,100000.0
137,96418.95055649949,101523.7874123355,105293.83540011506,109310.08406310223,115303.50397880943,105501.24594341924,100000.0
138,96448.34531881391,101558.50271070807,105380.70707146128,109331.0155801549,115345.89704006775,105545.24451659055,100000.0
139,96390.26973754741,101590.90488487025,105415.94072175451,109335.44787253893,115455.99026676922,105589.35266792546,100000.0
140,96303.51018305495,101628.4789616414,105467.41041889502,109413.73001684484,115516.77856665576,105639.42985732044,100000.0
141,96496.08375984742,101675.14211548251,105475.11838463605,109475.17447161472,115557.94935342533,105677.76181484084,100000.0
142,96475.07301559625,101721.14351811603,105505.45905799692,109573.99550146432,115649.1230124796,105722.88634503598,100000.0
143,96444.7082916793,101729.54719899065,105550.39157083977,109601.1940930933,115696.04669966095,105758.53379028404,100000.0
144,96404.07825024422,101729.20711955124,105582.12312321762,109667.98439938357,115843.2162553956,105802.12598642714,100000.0
145,96417.86353864305,101730.89430257645,105656.22616476261,109709.71739262587,115887.08955653447,105842.15625548696,100000.0
146,96439.22485869525,101771.8787163736,105692.15227683856,109775.0374230343,115954.3469685725,105882.7345973609,100000.0
147,96449.89188160462,101802.49321603382,105701.76840103639,109841.85737537769,116056.0823045538,105921.69725840134,100000.0
148,96453.31740307677,101805.53922224385,105692.31575226314,109874.64158504919,116237.37848270219,105959.377771594,100000.0
149,96388.526910711,101821.08224282958,105752.20822965234,109947.71201668338,116320.16374882172,105999.10637718489,100000.0
150,96411.53562775285,101844.32828941861,105789.26590895804,109996.22786926685,116401.3441134281,106038.65903239774,100000.0
151,96361.92971666782,101887.8446018158,105816.6483333025,110059.90071971536,116413.99739149507,106081.1545068676,100000.0
152,96436.32189616836,101947.80875260281,105853.21904003262,110102.55567378172,116577.72219931686,106120.17362660341,100000.0
153,96499.29470227844,101969.1982291897,105903.39195779797,110115.83317970589,116621.76542254194,106166.01439786117,100000.0
154,96438.27136183665,101965.21449870644,105956.77413813228,110223.65587826127,116750.76130985553,106203.75347126812,100000.0
155,96494.59289689841,102007.4631312768,105996.27416708689,110281.05784817672,116871.39501735456,106248.45427239093,100000.0
156,96490.37889696604,101980.0935092981,106039.51109126859,110314.67636333685,116875.80061381208,106286.62575429157,100000.0
157,96452.0304162944,101999.23230674076,106085.39200506735,110349.37880902663,116887.88880405301,106329.4635671313,100000.0
158,96458.53919585841,102042.27965540721,106116.05360126609,110412.17549968924,116970.30945996467,106375.4905154197,100000.0
159,96492.1900248634,102105.01374927274,106145.0716137646,110474.53221306164,117078.51747907363,106412.80917981968,100000.0
160,96502.03418006009,102110.59652548225,106217.58012979207,110507.6173873399,117145.6647611232,106448.94521618984,100000.0
161,96572.93951332971,102149.1034839029,106253.86234238294,110597.96778329196,117200.5196183176,106491.01940772074,100000.0
162,96534.33798178536,102206.1829507295,106301.74867943852,110688.93892217585,117292.1474485586,106537.30025208494,100000.0
163,96552.19989952499,102217.67725552642,106365.12864205206,110740.14318353662,117308.4087830658,106583.07078160411,100000.0
164,96565.14711684165,102214.41145929109,106385.44994311896,110806.68689555794,117361.65564553699,106622.66129795136,100000.0
165,96577.67399328154,102244.84218219762,106421.03146191932,110879.77330273962,117492.49998818628,106664.42180431352,100000.0
166,96641.85074418531,102293.59761815536,106470.41259034415,110919.01046456327,117630.90321550201,106703.54454146152,100000.0
167,96666.0814028735,102307.19157166194,106474.09727531497,110943.98817812388,117765.89884680427,106746.84657454865,100000.0
168,96691.79861666552,102370.84054377483,106524.08901321224,110986.37834655636,117830.83695575857,106794.52670620134,100000.0
169,96723.20972208914,102392.48601872848,106519.8190356598,111053.68691969852,117815.01274802528,106831.21425281746,100000.0
170,96708.92163807403,102430.41103443551,106597.93373564619,111105.5314464151,117864.79098424011,106871.83701373823,100000.0
171,96678.36725068065,102485.28845322927,106621.70574148736,111189.09635653123,117990.99805768805,106919.25007398125,100000.0
