Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-09-20,173.45713806152344,314.6991271972656,132.64369201660156,135.2899932861328,262.5899963378906
2023-09-21,171.91519165039062,313.48260498046875,129.37075805664062,129.3300018310547,255.6999969482422
2023-09-22,172.76522827148438,311.0103454589844,129.18231201171875,129.1199951171875,244.8800048828125
2023-09-25,174.04029846191406,311.5303649902344,130.03524780273438,131.27000427246094,246.99000549316406
2023-09-26,169.96803283691406,306.23248291015625,127.51609802246094,125.9800033569336,244.1199951171875
2023-09-27,168.45574951171875,306.8702087402344,129.4699249267578,125.9800033569336,240.5
2023-09-28,168.7127685546875,307.7041320800781,131.2254180908203,125.9800033569336,246.3800048828125
2023-09-29,169.2267303466797,309.7741394042969,129.78732299804688,127.12000274658203,250.22000122070312
2023-10-02,171.73727416992188,315.7096862792969,133.07017517089844,129.4600067138672,251.60000610351562
2023-10-03,170.40293884277344,307.4588623046875,131.3444366455078,124.72000122070312,246.52999877929688
2023-10-04,171.64834594726562,312.9233703613281,134.1314239501953,127.0,261.1600036621094
2023-10-05,172.8838653564453,313.3158264160156,133.9628143310547,125.95999908447266,260.04998779296875
2023-10-06,175.4339599609375,321.06634521484375,136.45225524902344,127.95999908447266,260.5299987792969
2023-10-09,176.91664123535156,323.577880859375,137.2853546142578,128.25999450683594,259.6700134277344
2023-10-10,176.3235626220703,322.1750183105469,136.92828369140625,129.47999572753906,263.6199951171875
2023-10-11,177.71722412109375,326.1286926269531,139.3978729248047,131.8300018310547,262.989990234375
2023-10-12,178.61668395996094,324.8924865722656,137.83082580566406,132.3300018310547,258.8699951171875
2023-10-13,176.77822875976562,321.5274353027344,136.23403930664062,129.7899932861328,251.1199951171875
2023-10-16,176.6497344970703,326.344482421875,137.9597930908203,132.5500030517578,253.9199981689453
2023-10-17,175.09791564941406,325.77545166015625,138.5746612548828,131.47000122070312,254.85000610351562
2023-10-18,173.8031005859375,323.8623962402344,136.8291015625,128.1300048828125,242.67999267578125
2023-10-19,173.42752075195312,325.0494689941406,136.62083435058594,128.39999389648438,220.11000061035156
2023-10-20,170.87741088867188,320.48748779296875,134.48846435546875,125.16999816894531,211.99000549316406
2023-10-23,170.99600219726562,323.08740234375,135.38108825683594,126.55999755859375,212.0800018310547
2023-10-24,171.43089294433594,324.2744140625,137.67213439941406,128.55999755859375,216.52000427246094
2023-10-25,169.11798095703125,334.2225341796875,124.5803451538086,121.38999938964844,212.4199981689453
2023-10-26,164.956787109375,321.6844177246094,121.27764129638672,119.56999969482422,205.75999450683594
2023-10-27,166.2713623046875,323.5680847167969,121.16854095458984,127.73999786376953,207.3000030517578
2023-10-30,168.31736755371094,330.9261474609375,123.43977355957031,132.7100067138672,197.36000061035156
2023-10-31,168.7918243408203,331.7109680175781,123.06288146972656,133.08999633789062,200.83999633789062
2023-11-01,171.95474243164062,339.5203552246094,125.41345977783203,137.0,205.66000366210938
2023-11-02,175.5130615234375,341.727783203125,126.44493865966797,138.07000732421875,218.50999450683594
2023-11-03,174.6037139892578,346.12298583984375,128.041748046875,138.60000610351562,219.9600067138672
2023-11-06,177.15380859375,349.7823791503906,129.18231201171875,139.74000549316406,219.27000427246094
2023-11-07,179.7138214111328,353.7066650390625,129.89639282226562,142.7100067138672,222.17999267578125
2023-11-08,180.7714385986328,356.3261413574219,130.75927734375,142.0800018310547,222.11000061035156
2023-11-09,180.29698181152344,353.8636169433594,129.17239379882812,140.60000610351562,209.97999572753906
2023-11-10,184.4834747314453,362.6736755371094,131.5031280517578,143.55999755859375,214.64999389648438
2023-11-13,182.8999481201172,359.740234375,131.00721740722656,142.58999633789062,223.7100067138672
2023-11-14,185.51280212402344,363.2623291015625,132.524658203125,145.8000030517578,237.41000366210938
2023-11-15,186.07693481445312,363.4098205566406,133.51651000976562,143.1999969482422,242.83999633789062
2023-11-16,187.75946044921875,369.79974365234375,135.8075408935547,142.8300018310547,233.58999633789062
2023-11-17,187.7396697998047,363.5867004394531,134.20082092285156,145.17999267578125,234.3000030517578
2023-11-20,189.48155212402344,371.0481872558594,135.1331329345703,146.1300048828125,235.60000610351562
2023-11-21,188.6798858642578,366.7521667480469,135.84722900390625,143.89999389648438,241.1999969482422
2023-11-22,189.34300231933594,371.4512939453125,137.35476684570312,146.7100067138672,234.2100067138672
2023-11-24,188.01678466796875,371.03839111328125,135.5695343017578,146.74000549316406,235.4499969482422
2023-11-27,187.83863830566406,372.1983947753906,135.29180908203125,147.72999572753906,236.0800018310547
2023-11-28,188.44236755371094,376.2191467285156,136.07533264160156,147.02999877929688,246.72000122070312
2023-11-29,187.42294311523438,372.4342956542969,133.88345336914062,146.32000732421875,244.13999938964844
2023-11-30,187.9969940185547,372.4932861328125,131.44361877441406,146.08999633789062,240.0800018310547
